,2253
0,-0.0005185787
1,-0.0009109609
2,-0.00041250847
3,-0.00041646374
4,-0.0016049577
5,-0.00041207115
6,-0.00043576572
7,-0.0008834384
8,-0.0009649105
9,-0.00026030015
10,-0.0017639496
11,-0.0022044578
12,-0.0014941916
13,-0.0018609656
14,-0.0014814761
15,-0.0016434847
16,-0.0016442605
17,-0.0020910765
18,-0.0009923171
19,-0.0042044492
20,-0.0013673976
21,-0.00041068182
22,-0.0009835423
23,-0.00231499
24,-0.0023020306
25,-0.0009082665
26,-0.00048534348
27,-0.00042251655
28,-0.00049650355
29,-0.0017566236
30,-0.0016930774
31,-0.0043181065
32,-0.00077494973
33,-0.00041894824
34,-0.0025373704
35,-0.0030935416
36,-0.001056204
37,-0.0036633885
38,-0.0019667118
39,-0.0018462499
40,-0.0021845691
41,-0.00077110843
42,-0.0011534722
43,-0.003934873
44,-0.004438567
45,-0.003070232
46,-0.0012898893
47,-0.0021490129
48,-0.0018874215
49,-0.0018943156
50,-0.00303457
51,-0.0014463826
52,-0.003322958
53,-0.0050201626
54,-0.004979253
55,-0.0010246027
56,-0.0004289557
57,-0.0018513945
58,-0.0022724047
59,-0.0018430452
60,-0.0052208817
61,-0.0033294065
62,-0.003136178
63,-0.0017607781
64,-0.0011633411
65,-0.0011580891
66,-0.0011445322
67,-0.0024622262
68,-0.00043902558
69,-0.00157159
70,-0.00064816244
71,-0.004436274
72,-0.0034310415
73,-0.005429861
74,-0.0021083835
75,-0.0023142295
76,-0.0022258272
77,-0.0004494836
78,-0.0045427764
79,-0.0026255718
80,-0.0003747482
81,-0.0006356511
82,-0.0006179515
83,-0.00045617638
84,-0.0005018895
85,-0.00045734417
86,-0.0005326685
87,-0.0005416229
88,-0.00044208748
89,-0.0006666113
90,-0.0055116415
91,-0.0044213743
92,-0.0012929562
93,-0.0007104859
94,-0.0013842962
95,-0.00072041305
96,-0.001244926
97,-0.000676726
98,-0.00086774473
99,-0.0008482069
100,-0.0012985779
101,-0.001595349
102,-0.00069967966
103,-0.002167427
104,-0.004381117
105,-0.0041241907
106,-0.0018944298
107,-0.0005446446
108,-0.00069164677
