,2253
0,-0.0073024197
1,-0.0015951773
2,-0.0005256793
3,-0.0048779882
4,-0.0024775723
5,-0.0011468732
6,-0.0013663576
7,-0.0018611401
8,-0.000948459
9,-0.0016758565
10,-0.0012090311
11,-0.0045403
12,-0.0057264064
13,-0.0012454989
14,-0.002504281
15,-0.0010263167
16,-0.0015541175
17,-0.0026375293
18,-0.0018781412
19,-0.0040435605
20,-0.002363293
21,-0.00069704873
22,-0.00321907
23,-0.0007304385
24,-0.0054095956
25,-0.0013477891
26,-0.0063123074
27,-0.0012247538
28,-0.00203029
29,-0.003745379
30,-0.006696298
31,-0.0012585226
32,-0.004136993
33,-0.0013909873
34,-0.0014084341
35,-0.0026093773
36,-0.005736093
37,-0.006029966
38,-0.005914307
39,-0.0027665857
40,-0.005052383
41,-0.0011465885
42,-0.0024471113
43,-0.0025985448
44,-0.004288445
45,-0.00077319174
46,-0.002298008
47,-0.0046492657
48,-0.003276986
49,-0.0008560037
50,-0.0035196224
51,-0.0026699135
52,-0.0011988841
53,-0.005472154
54,-0.0015512987
55,-0.0018221748
56,-0.0022279883
57,-0.002825695
58,-0.0016954911
59,-0.002281683
60,-0.005552162
61,-0.006637369
62,-0.0012227307
63,-0.00068756175
64,-0.0054148114
65,-0.0028565375
66,-0.0028782464
67,-0.0021818848
68,-0.0023213024
69,-0.003681696
70,-0.00289112
71,-0.0013194396
72,-0.007901478
73,-0.002153763
74,-0.0031325738
75,-0.0012157032
76,-0.002626159
77,-0.0011015692
78,-0.0072985794
79,-0.0034642054
80,-0.0031306338
81,-0.0010871261
82,-0.0027637815
83,-0.002249773
84,-0.0061424007
85,-0.0026379945
86,-0.0006967191
87,-0.0039588236
88,-0.0014593188
89,-0.0036942891
90,-0.0020168605
91,-0.005219947
92,-0.0033194614
93,-0.0011318526
94,-0.0011809843
95,-0.002503659
96,-0.0017627508
97,-0.0056800824
98,-0.0016107048
99,-0.0021732284
100,-0.0015382918
101,-0.0013582911
102,-0.0057996185
103,-0.0023974355
104,-0.0021486368
105,-0.00093733135
106,-0.005797665
107,-0.0059850267
108,-0.001481306
109,-0.003090129
110,-0.0029440983
111,-0.0014578819
112,-0.0013993168
113,-0.0058244485
114,-0.0034722427
115,-0.003509812
116,-0.0033050526
117,-0.0020411285
118,-0.0043386947
119,-0.002121143
120,-0.0048308936
121,-0.0022376364
122,-0.002393874
123,-0.0010589808
124,-0.002063888
125,-0.0013560692
126,-0.002482384
127,-0.0031509362
128,-0.0024050397
129,-0.0015995827
130,-0.00473535
131,-0.0026570105
132,-0.000593228
133,-0.0013656683
134,-0.0023077466
135,-0.0017324304
136,-0.0032437386
137,-0.004450187
138,-0.001987605
139,-0.0005776452
140,-0.0009503977
141,-0.0020124135
142,-0.0026450583
143,-0.0018141629
144,-0.00080142595
