refcode,doi,linker SMILES,metal,Largest Cavity Diameter,Pore Limiting Diameter,Largest Free Sphere
ABAVIJ,10.1039/b404485a,OC(=O)c1ccncc1,Co,4.43864,2.49640,3.98040
ABAVOP,10.1039/b404485a,OC(=O)c1ccncc1,Co,3.53566,2.44164,3.51741
ABAVUV,10.1039/b404485a,OC(=O)c1ccncc1,Co,4.99920,4.29904,4.98200
ABAYIM,10.1021/cg0342258,OC(=O)c1nccnc1C(=O)O,Ag,1.21090,0.51751,1.21090
ABAYIO,10.1021/acs.cgd.6b00776,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Mn,11.39487,4.32260,11.39487
ABAYOS,10.1021/cg0342258,OC(=O)c1nccnc1C(=O)O,Ag,1.45533,0.64478,1.45533
ABAYOS01,10.1246/cl.2010.190,OC(=O)c1nccnc1C(=O)O,Ag,1.43609,0.70443,1.40839
ABAYOU,10.1021/acs.cgd.6b00776,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Co,11.27344,4.51080,11.27344
ABEFUL,10.1007/s13738-014-0556-x,OS(c1ccc(cc1)/C/1=C\2/C=CC(=N2)/C(=c/2\cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)S(O)(O)O)/C=C3)\c1ccc(cc1)S(O)(O)O)/[nH]2)/c1ccc(cc1)S(O)(O)O)(O)O,Tb,4.93969,3.32948,4.93889
ABEMIF,10.1039/c1cc14118j,OC(=O)c1cc(cc(c1)C(=O)O)C(=O)O,Cu,11.25251,6.80253,11.25251
ABIWOX,10.1016/S1387-7003(01)00197-6,OC(=O)c1cncc(c1)C(=O)O,Co,1.81541,0.79580,1.80785
ABUFOU,10.1021/ic200592s,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Mn,2.13608,1.65727,2.11833
ABUFUA,10.1021/ic200592s,OC(=O)/C=C/c1ccc(cc1)/C=C/C(=O)O,Fe,2.05942,1.64222,2.05073
ABUWOJ,10.1107/S1600536801009175,OC(=O)c1ccc(cc1)C(=O)O,Zn,3.23457,1.40400,3.20514
ACAFAO,10.1039/C6CE02071B,[O-][n+]1ccc(cc1)c1ccc(cc1)C(=O)O,Pb,6.22232,5.37253,6.18758
ACAJIY,10.1002/ejic.200400171,C(Cn1nncn1)Cn1nncn1,Zn,4.95126,3.43138,4.95126
ACAJOG,10.1002/chem.201702405,OC(=O)c1cc(F)cnc1,Cu,3.34230,1.69329,3.34162
ACAKEX,10.1002/chem.201702405,OC(=O)c1cc(Cl)cnc1,Cu,2.82904,1.09185,2.42090
ACAKUM,10.1039/c2dt31717f,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,La,3.48305,1.40429,3.43219
ACALAT,10.1039/c2dt31717f,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Eu,3.17027,1.00034,3.16396
ACALEX,10.1039/c2dt31717f,OC(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)O)C(=O)O,Tb,3.74350,1.18908,3.74350
