,metal,linker_SMILES
0,Co,O=C(O)c1ccncc1
1,Ag,O=C(O)c1nccnc1C(=O)O
2,Mn,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
3,Co,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
4,Tb,OS(O)(O)c1ccc(-c2c3nc(c(-c4ccc(S(O)(O)O)cc4)c4ccc([nH]4)c(-c4ccc(S(O)(O)O)cc4)c4nc(c(-c5ccc(S(O)(O)O)cc5)c5ccc2[nH]5)C=C4)C=C3)cc1
5,Cu,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
6,Co,O=C(O)c1cncc(C(=O)O)c1
7,Mn,O=C(O)/C=C/c1ccc(/C=C/C(=O)O)cc1
8,Fe,O=C(O)/C=C/c1ccc(/C=C/C(=O)O)cc1
9,Zn,O=C(O)c1ccc(C(=O)O)cc1
10,Pb,O=C(O)c1ccc(-c2cc[n+]([O-])cc2)cc1
11,Zn,c1nnn(CCCn2ncnn2)n1
12,Cu,O=C(O)c1cncc(F)c1
13,Cu,O=C(O)c1cncc(Cl)c1
14,La,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1
15,Eu,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1
16,Tb,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1
17,Er,O=C(O)c1cc(C(=O)O)cc(-c2cn(-c3cc(C(=O)O)cc(C(=O)O)c3)nn2)c1
18,Ag,NCCN
19,Zn,OC(O)(c1ccccn1)c1ccccn1
20,Co,CO
21,Zn,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
22,Ni,O=C(O)c1ccncc1
23,Cd,Nc1ccn([C@H]2O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]2O)c(=O)n1
24,Sc,O=C(O)c1ccc(C(=O)O)cc1
25,Fe,c1n[nH]cc1-c1cn[nH]c1
26,Cu,O=C(O)c1ccc(P(=O)(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
27,Zn,O=C(O)c1ccc(P(=O)(c2ccc(C(=O)O)cc2)c2ccc(C(=O)O)cc2)cc1
