Symbol,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol),magpie1,magpie2,magpie3,magpie4,magpie5,magpie6,magpie7,magpie8,magpie9,magpie10,magpie11,magpie12,magpie13,magpie14,magpie15,magpie16,magpie17,magpie18,magpie19,magpie20,magpie21
Co,0.2696629213483146,0.22498884623556661,0.21505376344086025,0.7903780068728521,0.03874538745387454,0.1900709219858156,0.6705882352941177,0.2249888148627074,0.44317301801958,0.5714285714285714,0.4,0.20270270270270274,0.694267515923567,1.0,0.0,0.7000000000000001,0.0,0.2857142857142857,0.0,0.0,0.3333333333333333,0.0,0.13636363636363635,0.021830822711471604,0.0,0.7336421525977529,0.8387096774193549
Ag,0.4943820224719101,0.4367480945562273,0.28494623655913975,0.8384879725085912,0.04612546125461253,0.27801418439716313,0.7529411764705882,0.43674807565657586,0.2891368170417375,0.7142857142857143,0.6,0.33108108108108114,0.7261146496815287,0.0,0.0,1.0,0.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.045454545454545456,0.07823870220162223,0.0,0.0,0.9815668202764978
Mn,0.24719101123595508,0.2077004031799155,0.26344086021505386,0.59106529209622,0.07380073800738007,0.028368794326241134,0.6000000000000001,0.20770037255518903,0.37122184079429477,0.4285714285714286,0.4,0.29054054054054057,0.4840764331210191,1.0,0.0,0.5,0.0,0.2142857142857143,0.0,0.0,0.5555555555555556,0.0,0.2272727272727273,0.02407959403847046,0.0,0.00014693047589363874,0.9447004608294931
Tb,0.6966292134831461,0.6576906017147588,0.6075268817204302,0.37800687285223367,0.37084870848708484,0.25815602836879437,0.32941176470588235,0.6576906165277102,0.40300750141590674,0.14285714285714285,0.8000000000000002,0.6621621621621623,0.2675159235668789,1.0,0.0,0.0,0.6428571428571428,0.35714285714285715,0.0,0.0,0.0,0.38461538461538464,0.2272727272727273,0.22105832367740436,0.0,0.0,0.8387096774193549
Cu,0.2921348314606742,0.24495008176542346,0.17741935483870963,0.8522336769759451,0.02398523985239852,0.2680851063829788,0.7411764705882353,0.24495007116555773,0.32463273113954483,0.7142857142857143,0.4,0.2432432432432432,0.7070063694267517,0.0,0.0,1.0,0.0,0.35714285714285715,1.0,0.0,0.0,0.0,0.045454545454545456,0.02947856315179606,0.0,0.0,0.9815668202764978
Fe,0.2584269662921348,0.2116337549477926,0.23655913978494625,0.7079037800687284,0.055350553505535055,0.12056737588652483,0.6352941176470589,0.21162509107464772,0.4555983217171192,0.5,0.4,0.2432432432432432,0.6624203821656052,1.0,0.0,0.6000000000000001,0.0,0.25,0.0,0.0,0.4444444444444444,0.0,0.18181818181818182,0.026326767091541137,0.0,1.0,1.0
Zn,0.3033707865168539,0.2529297293367589,0.16129032258064513,0.8419243986254297,0.01845018450184502,0.01418439716312056,0.8,0.25288644481660677,0.1324479582047459,0.7857142857142857,0.4,0.17567567567567566,0.5477707006369426,1.0,0.0,1.0,0.0,0.39285714285714285,0.0,0.0,0.0,0.0,0.0,0.05626882966396292,0.0,0.0,0.8387096774193549
Pb,0.8876404494382023,0.8665923226616364,0.22580645161290325,0.6529209621993126,0.02583025830258301,0.1475177304964539,0.9411764705882353,0.8665922851610887,0.1058433602644567,0.9285714285714286,0.8000000000000002,0.33783783783783783,0.9808917197452232,1.0,0.6666666666666666,1.0,1.0,0.9642857142857143,0.0,0.8,0.0,0.0,0.18181818181818182,0.18743916570104285,0.0,0.0,0.9815668202764978
La,0.6067415730337079,0.5710575932361668,0.446236559139785,0.37800687285223367,0.474169741697417,0.16312056737588654,0.1411764705882353,0.5710574387037384,0.2770207011338812,0.14285714285714285,0.8000000000000002,0.75,0.19745222929936312,1.0,0.0,0.1,0.0,0.07142857142857142,0.0,0.0,1.0,0.0,0.4090909090909091,0.2688991888760139,0.0,0.0,0.8387096774193549
Eu,0.6741573033707865,0.6275707209248083,0.6397849462365592,0.37800687285223367,0.4114391143911439,0.2170212765957447,0.2823529411764706,0.6275663664100818,0.24870256712553607,0.14285714285714285,0.8000000000000002,0.6891891891891893,0.25159235668789814,1.0,0.0,0.0,0.5,0.2857142857142857,0.0,0.0,0.0,0.5384615384615385,0.3181818181818182,0.2648435689455388,0.0,0.0,1.0
