Symbol,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
Co,0.2696629213483146,0.22498884623556661,0.21505376344086025,0.7903780068728521,0.03874538745387454,0.1900709219858156
Ag,0.4943820224719101,0.4367480945562273,0.28494623655913975,0.8384879725085912,0.04612546125461253,0.27801418439716313
Mn,0.24719101123595508,0.2077004031799155,0.26344086021505386,0.59106529209622,0.07380073800738007,0.028368794326241134
Tb,0.6966292134831461,0.6576906017147588,0.6075268817204302,0.37800687285223367,0.37084870848708484,0.25815602836879437
Cu,0.2921348314606742,0.24495008176542346,0.17741935483870963,0.8522336769759451,0.02398523985239852,0.2680851063829788
Fe,0.2584269662921348,0.2116337549477926,0.23655913978494625,0.7079037800687284,0.055350553505535055,0.12056737588652483
Zn,0.3033707865168539,0.2529297293367589,0.16129032258064513,0.8419243986254297,0.01845018450184502,0.01418439716312056
Pb,0.8876404494382023,0.8665923226616364,0.22580645161290325,0.6529209621993126,0.02583025830258301,0.1475177304964539
La,0.6067415730337079,0.5710575932361668,0.446236559139785,0.37800687285223367,0.474169741697417,0.16312056737588654
Eu,0.6741573033707865,0.6275707209248083,0.6397849462365592,0.37800687285223367,0.4114391143911439,0.2170212765957447
Er,0.7303370786516854,0.693757656718504,0.6129032258064515,0.37800687285223367,0.3191881918819188,0.14184397163120568
Ni,0.2808988764044944,0.2239511458626782,0.19892473118279563,0.8247422680412373,0.02583025830258301,0.25815602836879437
Cd,0.5056179775280899,0.45640641504812673,0.26344086021505386,0.8006872852233677,0.03321033210332103,0.0
Sc,0.20224719101123595,0.1645041129371118,0.3870967741935485,0.4604810996563573,0.2287822878228782,0.124822695035461
Rb,0.3820224719101124,0.33981355146677955,0.8225806451612903,0.11683848797250851,0.7730627306273062,0.16595744680851066
Zr,0.4157303370786517,0.3647226877737866,0.5053763440860215,0.563573883161512,0.2306273062730627,0.1574468085106383
Gd,0.6853932584269663,0.6504408062905933,0.6505376344086022,0.37800687285223367,0.33394833948339486,0.11773049645390071
Dy,0.7078651685393259,0.6731594341373996,0.6236559139784945,0.37800687285223367,0.35239852398523985,0.1475177304964539
Sm,0.6629213483146067,0.6206253118402132,0.6774193548387097,0.37800687285223367,0.43173431734317347,0.12198581560283689
Ce,0.6179775280898877,0.5762915323563025,0.39247311827957,0.37800687285223367,0.4464944649446495,1.0
Nd,0.6404494382022472,0.5941418828073647,0.5053763440860215,0.37800687285223367,0.4797047970479704,0.36170212765957444
