refcode,Symbol,Atomic_Number,Atomic_Weight,Atomic Radius,Mulliken EN,polarizability(A^3),electron affinity(kJ/mol)
ABAVIJ, Co,27,58.9332,1.52,4.3,7.5,64
ABAVOP, Co,27,58.9332,1.52,4.3,7.5,64
ABAVUV, Co,27,58.9332,1.52,4.3,7.5,64
ABAYIM, Ag,47,107.8682,1.65,4.44,7.9,126
ABAYIO, Mn,25,54.93805,1.61,3.72,9.4,-50
ABAYOS, Ag,47,107.8682,1.65,4.44,7.9,126
ABAYOS01, Ag,47,107.8682,1.65,4.44,7.9,126
ABAYOU, Co,27,58.9332,1.52,4.3,7.5,64
ABEFUL, Tb,65,158.92534,2.25,3.1,25.5,112
ABEMIF, Cu,29,63.546,1.45,4.48,6.7,119
ABIWOX, Co,27,58.9332,1.52,4.3,7.5,64
ABUFOU, Mn,25,54.93805,1.61,3.72,9.4,-50
ABUFUA, Fe,26,55.847,1.56,4.06,8.4,15
ABUWOJ, Zn,30,65.39,1.42,4.45,6.4,-60
ACAFAO, Pb,82,207.2,1.54,3.9,6.8,34
ACAJIY, Zn,30,65.39,1.42,4.45,6.4,-60
ACAJOG, Cu,29,63.546,1.45,4.48,6.7,119
ACAKEX, Cu,29,63.546,1.45,4.48,6.7,119
ACAKUM, La,57,138.9055,1.95,3.1,31.1,45
ACALAT, Eu,63,151.965,2.31,3.1,27.7,83
ACALEX, Tb,65,158.92534,2.25,3.1,25.5,112
ACALIB, Er,68,167.26,2.26,3.1,22.7,30
ACAZEK, Ag,47,107.8682,1.65,4.44,7.9,126
ACENIF, Zn,30,65.39,1.42,4.45,6.4,-60
ACIBIY, Co,27,58.9332,1.52,4.3,7.5,64
ACIBOE, Zn,30,65.39,1.42,4.45,6.4,-60
ACICOH, Ni,28,58.6934,1.49,4.4,6.8,112
ACMPCD, Cd,48,112.411,1.61,4.33,7.2,-70
ACOBEC, Sc,21,44.95591,1.84,3.34,17.8,18
ACODAA, Fe,26,55.847,1.56,4.06,8.4,15
ACODED, Cu,29,63.546,1.45,4.48,6.7,119
ACODEE, Fe,26,55.847,1.56,4.06,8.4,15
ACODIH, Zn,30,65.39,1.42,4.45,6.4,-60
ACODON, Tb,65,158.92534,2.25,3.1,25.5,112
ACOFEG, Eu,63,151.965,2.31,3.1,27.7,83
ACOFIK, Tb,65,158.92534,2.25,3.1,25.5,112
ACOGAB, Cd,48,112.411,1.61,4.33,7.2,-70
ACOGEF, Cd,48,112.411,1.61,4.33,7.2,-70
ACOLOV, Cd,48,112.411,1.61,4.33,7.2,-70
ACOVEU, Co,27,58.9332,1.52,4.3,7.5,64
ACRNCU, Cu,29,63.546,1.45,4.48,6.7,119
