,metal,linker_SMILES,iforest_prediction_scaled,deepsvdd_prediction_scaled,iforest_predict,deepsvdd_predict
0,Zr,O=C(O)CCC(=O)Nc1ccc(C(=O)O)cc1,0.9715608711271038,0.7510360959646286,1.0,0.0
1,Zr,O=C(O)CNC(=O)c1ccc(C(=O)NCC(=O)O)cc1,0.9597748983298191,0.9592148451452122,1.0,1.0
2,Zn,O=C(N[C@@H](CO)C(=O)O)c1cn[nH]c1,0.9338114524237441,0.7973668068056956,1.0,0.0
3,Zn,NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,0.9263293084076456,0.8414303836996934,1.0,0.0
4,Zn,CC(C)C[C@H](NC(=O)CN)C(=O)O,0.8829864903242136,0.848448877468743,0.0,0.0
5,Zn,CC[C@H](C)[C@H](NC(=O)CN)C(=O)O,0.8866893083583287,0.7315124557232904,0.0,0.0
6,Fe,O=C(NO)c1ccc(C(=O)NO)cc1,0.9366856297517205,0.8890098564438517,1.0,0.0
7,Fe,O=C(NO)c1cccc(C(=O)NO)c1,0.950102152504164,0.7903463740335946,1.0,0.0
8,Zn,Clc1ccc2nc[nH]c2c1,0.8124124074865557,0.6813815310855021,0.0,0.0
9,Zn,Cc1cc2nc[nH]c2cc1C,0.8323873117188016,0.8505232459746709,0.0,0.0
10,Co,CCc1ncc[nH]1,0.8036305714226551,0.96704488531702,0.0,1.0
11,Co,Clc1nc[nH]c1Cl,0.6833763084164849,0.9002327076322083,0.0,0.0
12,Co,Clc1ccc2nc[nH]c2c1,0.8125209821045912,0.6317603597498438,0.0,0.0
13,Co,Cc1cc2nc[nH]c2cc1C,0.8317516447812676,0.8502029100058176,0.0,0.0
