,2
0,0.9380254
1,0.5747304
2,1.078851
3,1.0584271
4,0.40843534
5,1.1033217
6,0.8899772
7,0.578123
8,0.42963994
9,1.1028523
10,0.5786433
11,0.66736555
12,0.88216615
13,0.50484574
14,0.12102771
15,0.26632035
16,0.69940484
17,0.33902347
18,0.66089666
19,-0.0688076
20,0.67528534
21,1.1033216
22,0.8832269
23,0.10108876
24,0.7166618
25,0.81250334
26,0.672017
27,0.6842059
28,0.67090404
29,0.640458
30,0.27456117
31,0.38694036
32,1.2593715
33,0.7030418
34,0.82660496
35,0.5558901
36,0.42096424
37,0.19237173
38,0.5749278
39,0.38031328
40,0.1621151
41,0.28546488
42,0.53253174
43,0.67892146
44,0.0433594
45,0.50530195
46,0.86880386
47,0.7592071
48,0.6835278
49,0.6809503
50,0.54576445
51,0.35769093
52,-0.40540993
53,0.02349174
54,-0.53748214
55,0.7793375
56,0.8722682
57,0.660174
58,0.80135226
59,0.11623442
60,0.49219573
61,-0.011118412
62,0.04527366
63,0.42530358
64,0.54183626
65,0.61499
66,0.57495034
67,0.76288974
68,0.8844495
69,-0.072649956
70,0.49994338
71,0.49629295
72,0.68769515
73,0.5075033
74,0.68611777
75,0.43891907
76,0.09443092
77,0.78533304
78,0.3042847
79,0.49043608
80,0.76489925
81,0.7105571
82,0.918734
83,0.7793375
84,0.97709304
85,0.8617053
86,0.9848262
87,1.0808024
88,1.0848602
89,0.61771095
90,0.42442596
91,0.43794203
92,0.626549
93,0.4981445
94,0.8688109
95,0.8621968
96,0.701084
97,1.019309
98,0.8545289
99,0.86121833
100,0.8502363
101,0.050528765
102,0.80873847
103,0.80632615
104,0.618955
105,0.6465825
106,0.6689404
107,0.5484928
108,0.7562196
109,0.51506233
110,0.776235
111,0.761184
112,0.5763054
113,0.82086587
114,0.40133584
115,0.93470657
116,0.87963486
117,-0.20732248
118,0.007242441
119,0.45384884
120,0.87963486
121,0.6165662
122,0.31381202
123,-0.008322597
124,0.8212609
125,0.85699224
126,0.23084426
127,0.7871705
128,0.6490778
129,0.6678753
130,-0.01416719
131,0.93470657
132,0.8910163
133,0.9690979
134,0.5377817
135,0.4197359
136,0.7988515
137,0.5834334
138,0.5856488
139,1.354326
140,0.7571887
141,1.0956633
142,1.0956633
143,0.63553596
144,0.78612614
145,0.5625719
146,0.036498666
147,0.7104249
148,-0.22389543
149,0.13958967
150,0.88174534
151,0.49909604
152,0.30349064
153,0.6559304
154,0.7766981
155,0.66926134
156,0.44999313
157,0.20589435
158,0.23972034
159,0.65399885
160,0.7266381
161,0.31837964
162,0.7692715
163,0.62417614
164,0.8515849
165,0.6089921
166,0.29033935
167,0.5593592
168,0.46983993
169,0.5836066
170,0.6145836
171,0.68446755
172,0.87429154
173,0.8251488
174,0.88661385
175,0.34943736
176,-0.028910398
177,0.7389499
178,0.9730596
179,0.8420266
180,0.76082253
181,0.9777582
182,0.85052586
183,0.75842047
184,0.760286
185,0.8707286
186,0.87122345
187,0.77229357
188,0.7495768
189,0.5598062
190,0.6488453
191,0.6198027
192,0.8212346
193,0.6039653
194,0.83820605
195,0.659407
196,0.3372835
197,0.38393962
198,0.7012018
199,0.8077023
200,0.77526224
201,0.88642627
202,0.79668236
203,0.79101074
204,0.760412
205,0.7768254
206,0.7958609
207,0.7340455
208,0.7151102
209,0.82763255
210,0.67075586
211,0.64973474
212,0.043050647
213,-0.020564318
214,0.6696924
215,0.33322287
216,0.72074795
217,0.80778325
218,0.12460518
219,0.50421786
220,0.29135787
221,0.71333134
222,0.51662385
223,1.1765708
224,0.8582622
225,1.179537
226,0.7613652
227,0.65118575
228,0.40871298
229,1.3604611
230,1.2332251
231,0.81879747
232,1.3604611
233,1.2332251
234,0.81879747
235,0.81879747
236,0.7826458
237,0.5865849
238,0.777545
239,0.4443519
240,-0.10713577
241,0.804237
242,0.64655554
243,0.042899966
244,0.29358578
245,0.67334414
246,0.29572618
247,0.96856564
248,0.92152673
249,0.06501913
250,0.85466206
251,0.87271166
252,0.6544651
253,0.62797046
254,0.37254238
255,0.73725224
256,0.63656557
257,0.66887045
258,-0.120717406
259,0.55640817
260,0.7604457
261,0.20291495
262,0.52777576
263,0.62063384
264,0.101483464
265,0.91819465
266,0.4371493
267,0.45229912
268,0.35395944
269,0.10147178
270,0.6376728
271,0.13346004
272,0.60396206
273,0.69092417
274,0.50403214
275,0.16265893
276,0.755561
277,0.6563889
278,-0.22452486
279,1.0285103
280,-0.40699756
281,1.0946677
282,0.3777038
283,0.6996112
284,0.8129784
285,0.66799045
286,0.56741035
287,-0.22539079
288,0.6561134
289,-0.11924207
290,0.3051312
291,0.62412584
292,0.22906792
293,0.6977862
294,0.9604469
295,0.7588935
296,0.78119516
297,0.4328859
298,0.67210484
299,0.82793057
300,0.27277446
301,0.91279465
302,0.61418176
303,0.5494437
304,0.29072535
305,0.5415858
306,1.383285
307,1.3476558
308,0.45434785
309,0.6466899
310,0.7569158
311,-0.091546774
312,0.25463486
313,0.9633846
314,0.59604394
315,0.6660073
316,1.3522772
317,0.58703446
318,0.73400354
319,0.3260411
320,0.7642771
321,0.14241159
322,0.40056348
323,0.3379196
324,0.50135636
325,1.3763251
326,0.7562802
327,0.04049647
328,0.67857313
329,0.8518797
330,0.8968353
331,0.634339
332,0.8080838
333,0.50527966
334,0.72949684
335,0.5730939
336,1.3416339
337,1.2016633
338,0.22653031
339,0.51693165
340,0.22462666
341,0.045084715
342,0.3590691
343,0.6359538
344,0.50709724
345,0.77736866
346,1.025659
347,0.84582937
348,0.43082058
349,0.69778264
350,0.7632576
351,0.8227122
352,0.08180833
353,-0.06943476
354,0.20896828
355,0.6267334
356,0.4937861
357,0.28525627
358,0.5495926
359,0.50128615
360,0.53628755
361,0.55366683
362,0.103307724
363,1.2594676
364,1.231096
365,0.4308827
366,0.7627107
367,0.50756097
368,0.11926317
369,0.36455953
370,0.7557342
371,0.3814726
372,0.11527884
373,0.646907
374,0.7828506
375,0.25478888
376,0.5633327
377,0.19770217
378,0.8307338
379,0.10161102
380,0.93299305
381,0.64721763
382,0.9643861
383,0.18438673
384,0.5611429
385,0.28809798
386,0.79005694
387,0.65398085
388,0.58723235
389,0.5733216
390,0.50897443
391,0.71997297
392,0.6786957
393,-0.074391484
394,0.37142348
395,0.29361856
396,0.54656506
397,0.03387046
398,0.71278906
399,0.70423055
400,-0.1726023
401,0.9633846
402,1.2332094
403,0.6660073
404,0.78581417
405,0.392056
406,-0.19261062
407,0.59070385
408,0.50459504
409,0.6819316
410,0.5936773
411,0.5287206
412,0.8891561
413,0.5565815
414,0.65615654
415,0.47321868
416,0.67383766
417,1.1154089
418,0.72395635
419,0.5478071
420,0.42974365
421,0.45084727
422,0.6699656
423,1.3683641
424,0.6025121
425,-0.2633878
426,-0.10378122
427,0.6609926
428,0.079360604
429,0.6249889
430,0.7389463
431,0.16387463
432,0.5029503
433,0.44228578
434,0.27057683
435,0.111456275
436,0.6689526
437,0.50675786
438,0.7608757
439,-0.86524594
440,0.35678148
441,0.7355356
442,0.6917782
443,0.36239195
444,0.55536425
445,0.5048013
446,0.28923273
447,0.28923273
448,0.60736716
449,0.77378047
450,0.52255213
451,0.35128605
452,0.6591253
453,0.6158701
454,0.19040453
455,0.42016482
456,0.36632574
457,0.22155225
458,0.45878756
459,0.37393057
460,0.42697048
461,0.35128605
462,0.3745122
463,0.4977677
464,0.43507838
465,0.84262586
466,0.07882333
467,0.82827425
468,0.8075805
469,0.1919676
470,0.104647875
471,0.5831958
472,0.9766527
473,0.673676
474,0.36680913
475,0.43146145
476,-0.05001235
477,0.5257927
478,0.77920437
479,0.2893119
480,0.7927381
481,0.48514605
482,0.91601104
483,0.64624166
484,0.931271
485,0.931271
486,0.38492608
487,0.41506827
488,1.0115929
489,-0.068092585
490,0.52919424
491,1.2332919
492,0.41849816
493,0.40434575
494,0.3784113
495,0.56766415
496,0.5759487
497,0.46940088
498,0.34874892
499,0.7521572
500,0.066756725
501,0.98616457
502,1.3202275
503,1.3202275
504,0.35581505
505,0.24094772
506,-0.25214303
507,0.26438558
508,0.7666433
509,1.3915491
510,0.2473334
511,0.7867081
512,0.65874994
513,-0.013427496
514,0.290403
515,0.6730746
516,0.2900573
517,0.52491164
518,0.3567952
519,0.3507036
520,0.7640468
521,0.17080557
522,0.31360304
523,0.87696445
524,0.93148166
525,0.6480206
526,0.8754045
527,0.538399
528,0.16204572
529,0.29053068
530,0.49620306
531,0.16012454
532,0.6529554
533,0.35976756
534,0.73479617
535,0.15118062
536,0.27051902
537,0.22527468
538,1.0878055
539,0.5913515
540,0.2834028
541,0.7945224
542,0.5687401
543,0.51329565
544,0.28589642
545,0.47449052
546,0.50278544
547,0.47834885
548,0.52416027
549,0.3710661
550,0.5803058
551,0.52535594
552,0.82389784
553,0.61071515
554,0.5861106
555,0.49117565
556,0.29318964
557,0.9282427
558,0.6831285
559,0.42810655
560,0.12676525
561,0.7564552
562,0.91697574
563,0.8611833
564,0.70403135
565,0.8175616
566,0.84853125
567,0.8899772
568,0.71257377
569,1.3689686
570,0.4991716
571,0.4422469
572,0.4234488
573,0.97767013
574,0.30458498
575,0.59819996
576,0.4301901
577,0.31463504
578,0.9899628
579,-0.15191829
580,-0.07807052
581,1.3522772
582,0.5057
583,0.62753344
584,0.10249734
585,0.5050348
586,-0.095274806
587,0.21729648
588,0.49691153
589,0.4290104
590,0.4617951
591,0.45084155
592,0.7703862
593,0.6698011
594,1.0141902
595,0.4522456
596,0.5469619
597,0.71666193
598,0.6594795
599,-0.17492926
600,0.9033444
601,0.37120056
602,0.83326125
603,0.70920324
604,0.992292
605,0.7328533
606,0.8573146
607,0.4557824
608,0.72054136
609,0.11845255
610,0.6310806
611,0.7694597
612,0.7115545
613,-0.20820582
614,0.66446805
615,0.6211653
616,0.8694588
617,0.5833237
618,0.38758898
619,0.70509934
620,0.5452472
621,-0.06866324
622,0.65734506
623,0.6642668
624,0.55962515
625,0.46257973
626,0.5028007
627,0.43239987
628,0.043727398
629,0.23640537
630,0.43335867
631,0.19567692
632,0.68287885
633,0.66446805
634,0.042990565
635,0.3076893
636,0.6896094
637,0.12375891
638,0.37210917
639,0.29230523
640,0.71305716
641,0.60792017
642,0.60533607
643,0.5199362
644,0.67312205
645,0.8241321
646,0.70781827
647,0.802119
648,0.42402816
649,-0.06425512
650,0.06985009
651,-0.06880283
652,0.62299204
653,0.41289675
654,0.41289675
655,0.58339906
656,1.3585527
657,0.050791264
658,0.12169218
659,0.63587546
660,0.6332092
661,0.18501043
662,0.2279731
663,0.94128233
664,0.37732792
665,0.38278604
666,0.2695396
667,0.35675657
668,0.96437585
669,0.6742183
670,0.5755626
671,0.58509016
672,0.58438873
673,0.83669746
674,-0.53222597
675,0.15252817
676,0.18220174
677,0.43825555
678,0.074002385
679,-0.27551877
680,1.0020995
681,0.2444179
682,0.06326616
683,0.59733975
684,0.5741724
685,0.2715212
686,0.710184
687,0.20350897
688,0.8249444
689,0.43246913
690,0.8869147
691,0.57316923
692,0.6248636
693,0.27343333
694,0.009395719
695,-0.12239206
696,0.92172426
697,0.33192253
698,1.3880827
699,0.35294092
700,0.45347
701,0.6201601
702,0.58891714
703,0.50756085
704,0.6128671
705,0.43602324
706,0.5603262
707,0.5855354
708,0.64054716
709,0.6696563
710,1.0678895
711,0.92152673
712,0.29344058
713,0.2911228
714,0.29593766
715,0.26436472
716,1.1656907
717,-0.013809919
718,0.46800053
719,1.0666472
720,0.56659484
721,0.37606013
722,0.4374299
723,0.080063224
724,0.8479458
725,0.2928164
726,0.32933903
727,0.122201204
728,0.12938333
729,-0.12310517
730,0.10153997
731,0.045753837
732,-0.38539898
733,0.92152673
734,0.56061065
735,-0.17259538
736,0.53082466
737,-0.020552635
738,0.66320527
739,0.3498311
740,0.5354656
741,0.28319085
742,0.47749186
743,0.63433564
744,0.5606109
745,0.20366716
746,0.61424685
747,0.1243608
748,-0.01329875
749,0.61296046
750,0.48415434
751,0.9863529
752,0.448308
753,0.4293337
754,0.52488065
